disease,treatment
Pityriasis lichenoides chronica,"How might pityriasis lichenoides chronica be treated? Pityriasis lichenoides chronica may not always respond to treatment and relapses often occur when treatment is discontinued. If the rash is not causing symptoms, treatment may not be necessary. In cases where treatment is necessary, there are several different therapies available. First-line therapies may include: Sun exposure   Topical steroids  Topical immunomodulators such as tacrolimus or pimecrolimus  Oral antibiotics such as erythromycin and tetracycline  Second-line therapies may include: Phototherapy  artificial ultraviolet radiation treatment with UVB or PUVA  Third-line therapies may include: Systemic steroids Methotrexate  Acitretin Dapsone Ciclosporin For more resistant and severe disease, a combination of the above may be used PubMed, a searchable database of medical literature, lists several journal articles that discuss treatment of pityriasis lichenoides chronica. Click on the link to view abstracts of articles related to this topic."
Pityriasis lichenoides et varioliformis acuta,"How might pityriasis lichenoides et varioliformis acuta be treated? Pityriasis lichenoides et varioliformis acuta (PLEVA) often resolves on its own within several weeks to several months. Depending on the severity of the condition and the symptoms present, treatment may not be necessary. If treatment is indicated, there are many different therapies that have been used to treat PLEVA with varying degrees of success. These include: Oral antibiotics Sun exposure Topical steroids Immunomodulators (medications used to help regulate or normalize the immune system) Phototherapy Systemic steroids Unfortunately, PLEVA may not always respond to treatment and relapses often occur when treatment is discontinued."
Pityriasis rubra pilaris,"How might pityriasis rubra pilaris be treated? Treatment of pityriasis rubra pilaris (PRP) is mainly based on reports of patients' experiences. No controlled trials have been done, so the effectiveness and safety of treatments is unclear. Currently there are no treatments approved by the US Food and Drug Administration (FDA) or the European Medicines Agency (EMA) for use in PRP. Management of PRP often involves systemic and topical therapies combined. Topical therapies can help with the symptoms and may be enough for people with mild PRP. Topical treatments are usually combined with systemic therapy for PRP that affects a large part of the body. Most people need systemic therapy to control the condition. Oral retinoids (synthetic vitamin A derivatives) are usually preferred as a first-line systemic treatment for PRP. Methotrexate may be an alternative option for people who should not use systemic retinoids, or who don't respond to systemic retinoid therapy. For people who don't respond well to retinoid or methotrexate therapy, options may include biologic TNF-alpha inhibitors, azathioprine, cyclosporine, and/or phototherapy. Topical treatments used for PRP may include topical corticosteroids, keratolytics, tar, calcipotriol, topical tretinoin, and tazarotene. Some of the medications used to treat PRP can harm a developing fetus and are not recommended for use right before or during pregnancy. People seeking information about specific treatment options for themselves or family members should speak with their health care provider."
Plasma Cell Neoplasms (Including Multiple Myeloma),"Key Points
                    - There are different types of treatment for patients with plasma cell neoplasms.    - Eight types of treatment are used:         - Chemotherapy     - Other drug therapy     - Targeted therapy     - High-dose chemotherapy with stem cell transplant     - Biologic therapy     - Radiation therapy     - Surgery     - Watchful waiting        - New types of treatment are being tested in clinical trials.          - New combinations of therapies         - Supportive care is given to lessen the problems caused by the disease or its treatment.     - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for patients with plasma cell neoplasms.
                    Different types of treatments are available for patients with plasma cell neoplasms. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment. Patients may want to think about taking part in a clinical trial. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Eight types of treatment are used:
                    Chemotherapy     Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). The way the chemotherapy is given depends on the type and stage of the cancer being treated.    See Drugs Approved for Multiple Myeloma and Other Plasma Cell Neoplasms for more information.       Other drug therapy     Corticosteroids are steroids that have antitumor effects in multiple myeloma.        Targeted therapy     Targeted therapy is a treatment that uses drugs or other substances to identify and attack specific cancer cells without harming normal cells. Several types of targeted therapy may be used to treat multiple myeloma and other plasma cell neoplasms.     Proteasome inhibitor therapy is a type of targeted therapy that blocks the action of proteasomes in cancer cells and may prevent the growth of tumors. Bortezomib, carfilzomib, ixazomib, daratumumab, and elotuzumab are proteasome inhibitors used in the treatment of multiple myeloma and other plasma cell neoplasms.     Histone deacetylase (HDAC) inhibitor therapy is a type of targeted therapy that blocks enzymes needed for cell division and may stop the growth of cancer cells. Panobinostat is an HDAC inhibitor used in the treatment of multiple myeloma and other plasma cell neoplasms.    See Drugs Approved for Multiple Myeloma and Other Plasma Cell Neoplasms for more information.       High-dose chemotherapy with stem cell transplant    This treatment is a way of giving high doses of chemotherapy and replacing blood -forming cells destroyed by the cancer treatment. Stem cells (immature blood cells) are removed from the blood or bone marrow of the patient (autologous transplant) or a donor (allogeneic transplant) and are frozen and stored. After the chemotherapy is completed, the stored stem cells are thawed and given back to the patient through an infusion. These reinfused stem cells grow into (and restore) the body's blood cells.           Biologic therapy     Biologic therapy is a treatment that uses the patient's immune system to fight cancer. Substances made by the body or made in a laboratory are used to boost, direct, or restore the body's natural defenses against cancer. This type of cancer treatment is also called biotherapy or immunotherapy.     Immunomodulators are a type of biologic therapy. Thalidomide, lenalidomide, and pomalidomide are immunomodulators used to treat multiple myeloma and other plasma cell neoplasms.     Interferon is a type of biologic therapy. It affects the division of cancer cells and can slow tumor growth.     See Drugs Approved for Multiple Myeloma and Other Plasma Cell Neoplasms for more information.       Radiation therapy     Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.     -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           The way the radiation therapy is given depends on the type and stage of the cancer being treated. External radiation therapy is used to treat plasma cell neoplasms.       Surgery     Surgery to remove the tumor may be done and is usually followed by radiation therapy. Treatment given after the surgery, to lower the risk that the cancer will come back, is called adjuvant therapy.       Watchful waiting     Watchful waiting is closely monitoring a patients condition without giving any treatment until signs or symptoms appear or change.
                
                
                    New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     New combinations of therapies     Clinical trials are studying different combinations of biologic therapy, chemotherapy, steroid therapy, and drugs. New treatment regimens using thalidomide or lenalidomide are also being studied.
                
                
                    Supportive care is given to lessen the problems caused by the disease or its treatment.
                    This therapy controls problems or side effects caused by the disease or its treatment, and improves quality of life. Supportive care is given to treat problems caused by multiple myeloma and other plasma cell neoplasms.     Supportive care may include the following:          -  Plasmapheresis: If the blood becomes thick with extra antibody proteins and interferes with circulation, plasmapheresis is done to remove extra plasma and antibody proteins from the blood. In this procedure blood is removed from the patient and sent through a machine that separates the plasma (the liquid part of the blood) from the blood cells. The patient's plasma contains the unneeded antibodies and is not returned to the patient. The normal blood cells are returned to the bloodstream along with donated plasma or a plasma replacement. Plasmapheresis does not keep new antibodies from forming.     -  High-dose chemotherapy with stem cell transplant: If amyloidosis occurs, treatment may include high-dose chemotherapy followed by stem cell transplant using the patient's own stem cells.    -  Biologic therapy: Biologic therapy with thalidomide, lenalidomide, or pomalidomide is given to treat amyloidosis.    -  Targeted therapy: Targeted therapy with proteasome inhibitors is given to treat amyloidosis.    -  Radiation therapy: Radiation therapy is given for bone lesions of the spine.    -  Chemotherapy: Chemotherapy is given to reduce back pain from osteoporosis or compression fractures of the spine.    -  Bisphosphonate therapy: Bisphosphonate therapy is given to slow bone loss and reduce bone pain. See the following PDQ summaries for more information on bisphosphonates and problems related to their use:               - Cancer Pain      - Oral Complications of Chemotherapy and Head/Neck Radiation
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.
                
		        
		            Treatment Options for Plasma Cell Neoplasms
		            
		                
		                    Monoclonal Gammopathy of Undetermined Significance
		                    Treatment of monoclonal gammopathy of undetermined significance (MGUS) is usually watchful waiting. Regular blood tests to check the level of M protein in the blood and physical exams to check for signs or symptoms of cancer will be done.   Check the list of NCI-supported cancer clinical trials that are now accepting patients with monoclonal gammopathy of undetermined significance. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Isolated Plasmacytoma of Bone
		                    Treatment of isolated plasmacytoma of bone is usually radiation therapy to the bone lesion.   Check the list of NCI-supported cancer clinical trials that are now accepting patients with isolated plasmacytoma of bone. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Extramedullary Plasmacytoma
		                    Treatment of extramedullary plasmacytoma may include the following:          -  Radiation therapy to the tumor and nearby lymph nodes.    -  Surgery, usually followed by radiation therapy.    -  Watchful waiting after initial treatment, followed by radiation therapy, surgery, or chemotherapy if the tumor grows or causes signs or symptoms.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with extramedullary plasmacytoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Multiple Myeloma
		                    Patients without signs or symptoms may not need treatment. When signs or symptoms appear, the treatment of multiple myeloma may be done in phases:         -   Induction therapy : This is the first phase of treatment. Its goal is to reduce the amount of disease, and may include one or more of the following:               -  Corticosteroid therapy.      -  Biologic therapy with lenalidomide, pomalidomide, or thalidomide therapy.      -  Targeted therapy with proteasome inhibitors (bortezomib, carfilzomib, ixazomib, daratumumab, and elotuzumab).      -  Chemotherapy.      -  Histone deacetylase inhibitor therapy with panobinostat.      - A clinical trial of different combinations of treatment.             -   Consolidation chemotherapy : This is the second phase of treatment. Treatment in the consolidation phase is to kill any remaining cancer cells. High-dose chemotherapy is followed by either:               - one autologous stem cell transplant, in which the patient's stem cells from the blood or bone marrow are used; or      - two autologous stem cell transplants followed by an autologous or allogeneic stem cell transplant, in which the patient receives stem cells from the blood or bone marrow of a donor; or      - one allogeneic stem cell transplant.             -   Maintenance therapy : After the initial treatment, maintenance therapy is often given to help keep the disease in remission for a longer time. Several types of treatment are being studied for this use, including the following:               - Chemotherapy.      -  Biologic therapy with interferon.      - Corticosteroid therapy.      - Lenalidomide therapy.      - Targeted therapy with a proteasome inhibitor (bortezomib).                 Check the list of NCI-supported cancer clinical trials that are now accepting patients with multiple myeloma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.
		                
		                
		                    Refractory Multiple Myeloma
		                    Treatment of refractory multiple myeloma may include the following:         -  Watchful waiting for patients whose disease is stable.    - A different treatment than treatment already given, for patients whose tumor kept growing during treatment. (See Multiple Myeloma treatment options.)    - A clinical trial of a new therapy.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with refractory multiple myeloma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website."
Platelet storage pool deficiency,"How might platelet storage pool deficiency be treated? Treatment for platelet storage pool deficiency is symptomatic. For example, people who have severe episodes of bleeding may require platelet transfusions or antifibrinolytic medications, particularly during periods of high risk such as during surgical procedures or after an injury. Transfusions are generally used with caution as the potential risks often outweigh the benefits when bleeding is not life-threatening. People with a platelet storage pool deficiency should avoid antiplatelet drugs such as aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDS)."
Pleurisy and Other Pleural Disorders,"Pleurisy and other pleural disorders are treated with procedures, medicines, and other methods. The goals of treatment include:
                
Relieving symptoms
                
Removing the fluid, air, or blood from the pleural space (if a large amount is present)
                
Treating the underlying condition
                
Relieving Symptoms
                
To relieve pleurisy symptoms, your doctor may recommend:
                
Acetaminophen or anti-inflammatory medicines (such as ibuprofen) to control pain.
                
Codeine-based cough syrups to controlcoughing.
                
Lying on your painful side. This might make you more comfortable.
                
Breathing deeply and coughing to clear mucus as the pain eases. Otherwise, you may developpneumonia.
                
Getting plenty of rest.
                
Removing Fluid, Air, or Blood From the Pleural Space
                
Your doctor may recommend removing fluid, air, or blood from your pleural space to prevent a lung collapse.
                
The procedures used to drain fluid, air, or blood from the pleural space are similar.
                
Duringthoracentesis, your doctor will insert a thin needle or plastic tube into the pleural space. An attached syringe will draw fluid out of your chest. This procedure can remove more than 6 cups of fluid at a time.
                
If your doctor needs to remove a lot of fluid, he or she may use a chest tube. Your doctor will inject a painkiller into the area of your chest wall where the fluid is. He or she will then insert a plastic tube into your chest between two ribs. The tube will be connected to a box that suctions out the fluid. Your doctor will use achest x ray to check the tube's position.
                
Your doctor also can use a chest tube to drain blood and air from the pleural space. This process can take several days. The tube will be left in place, and you'll likely stay in the hospital during this time.
                
Sometimes the fluid in the pleural space contains thick pus or blood clots. It may form a hard skin or peel, which makes the fluid harder to drain. To help break up the pus or blood clots, your doctor may use a chest tube to deliver medicines called fibrinolytics to the pleural space. If the fluid still won't drain, you may need surgery.
                
If you have a small, persistent air leak into the pleural space, your doctor may attach a one-way valve to the chest tube. The valve allows air to exit the pleural space, but not reenter. Using this type of valve may allow you to continue your treatment from home.
                
Treat the Underlying Condition
                
The fluid sample that was removed during thoracentesis will be checked under a microscope. This can tell your doctor what's causing the fluid buildup, and he or she can decide the best way to treat it.
                
If the fluid is infected, treatment will involve antibiotics and drainage. If you have tuberculosis or a fungal infection, treatment will involve long-term use of antibiotics or antifungal medicines.
                
If tumors in the pleura are causing fluid buildup, the fluid may quickly build up again after it's drained. Sometimes antitumor medicines will prevent further fluid buildup. If they don't, your doctor may seal the pleural space. Sealing the pleural space is called pleurodesis (plur-OD-eh-sis).
                
For this procedure, your doctor will drain all of the fluid out of your chest through a chest tube. Then he or she will push a substance through the chest tube into the pleural space. The substance will irritate the surface of the pleura. This will cause the two layers of the pleura to stick together, preventing more fluid from building up.
                
Chemotherapy or radiation treatment also may be used to reduce the size of the tumors.
                
Ifheart failureis causing fluid buildup, treatment usually includes diuretics (medicines that help reduce fluid buildup) and other medicines."
Pneumonia,"Treatment for pneumonia depends on the type of pneumonia you have and how severe it is. Most people who have community-acquired pneumoniathe most common type of pneumoniaare treated at home.
                
The goals of treatment are to cure the infection and prevent complications.
                
General Treatment
                
If you have pneumonia, follow your treatment plan, take all medicines as prescribed, and get ongoing medical care. Ask your doctor when you should schedule followup care. Your doctor may want you to have a chest x ray to make sure the pneumonia is gone.
                
Although you may start feeling better after a few days or weeks, fatigue (tiredness) can persist for up to a month or more. People who are treated in the hospital may need at least 3 weeks before they can go back to their normal routines.
                
Bacterial Pneumonia
                
Bacterial pneumonia is treated with medicines called antibiotics. You should take antibiotics as your doctor prescribes. You may start to feel better before you finish the medicine, but you should continue taking it as prescribed. If you stop too soon, the pneumonia may come back.
                
Most people begin to improve after 1 to 3 days of antibiotic treatment. This means that they should feel better and have fewer symptoms, such as cough and fever.
                
Viral Pneumonia
                
Antibiotics don't work when the cause of pneumonia is a virus. If you have viral pneumonia, your doctor may prescribe an antiviral medicine to treat it.
                
Viral pneumonia usually improves in 1 to 3 weeks.
                
Treating Severe Symptoms
                
You may need to be treated in a hospital if:
                
Your symptoms are severe
                
You're at risk for complications because of other health problems
                
If the level of oxygen in your bloodstream is low, you may receive oxygen therapy. If you have bacterial pneumonia, your doctor may give you antibiotics through an intravenous (IV) line inserted into a vein."
Poland syndrome,"How might Poland syndrome be treated? Management of Poland syndrome may include surgical correction of the chest wall deformities. Surgical options are available to improve appearance in both males and females. In females, breast reconstruction is typically performed at the time of normal full breast development and can be planned in conjunction with or following reconstruction of the chest wall. In males reconstruction of the chest may not be necessary if there is no underlying chest wall deformity. The optimal surgical approach will vary from patient to patient. Surgical options should be discussed with a surgeon familiar with reconstructive surgery in people with Poland syndrome."
Polyarteritis nodosa,"How might polyarteritis nodosa be treated? Few people with polyarteritis nodosa have mild disease that remains stable with nonaggressive therapy; because of the risk for serious health complications, aggressive therapy is often recommended. Treatment may include prednisone in divided doses. Additional therapy, such as cyclophosphamide, chlorambucil, azathioprine, methotrexate, dapsone, cyclosporine, or plasma exchange, may also be recommended. The goal of therapy is remission (to have no active disease) within 6 months or so. At this point the person may be maintained on cyclophosphamide (or other therapy) for a year, before it is tapered and withdrawn over the course of 3 to 6 months.It is very important that people undergoing treatment for polyarteritis nodosa be monitored closely for toxic effects of the drugs or for signs of worsening disease. This monitoring may involve blood counts, urinalyses, serum chemistries, and the ESR on at least monthly intervals."
Polycythemia Vera,"The purpose of treatment for polycythemia vera is to reduce the number of extra blood cells. Treatment of polycythemia vera may include the following:             -  Phlebotomy.     -  Chemotherapy with or without phlebotomy.     -  Biologic therapy using interferon alfa or pegylated interferon alpha.     - Low-dose aspirin.            Check the list of NCI-supported cancer clinical trials that are now accepting patients with polycythemia vera. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your doctor about clinical trials that may be right for you. General information about clinical trials is available from the NCI website.Polycythemia vera (PV) doesn't have a cure. However, treatments can help control the disease and its complications. PV is treated with procedures, medicines, and other methods. You may need one or more treatments to manage the disease.
                
Goals of Treatment
                
The goals of treating PV are to control symptoms and reduce the risk of complications, especially heart attack and stroke. To do this, PV treatments reduce the number of red blood cells and the level of hemoglobin (an iron-rich protein) in the blood. This brings the thickness of your blood closer to normal.
                
Blood with normal thickness flows better through the blood vessels. This reduces the chance that blood clots will form and cause a heart attack or stroke.
                
Blood with normal thickness also ensures that your body gets enough oxygen. This can help reduce some of the signs and symptoms of PV, such as headaches, vision problems, and itching.
                
Studies show that treating PV greatly improves your chances of living longer.
                
The goal of treating secondary polycythemia is to control its underlying cause, if possible. For example, if the cause is carbon monoxide exposure, the goal is to find the source of the carbon monoxide and fix or remove it.
                
Treatments To Lower Red Blood Cell Levels
                
Phlebotomy
                
Phlebotomy (fle-BOT-o-me) is a procedure that removes some blood from your body. For this procedure, a needle is inserted into one of your veins. Blood from the vein flows through an airtight tube into a sterile container or bag. The process is similar to the process of donating blood.
                
Phlebotomy reduces your red blood cell count and starts to bring your blood thickness closer to normal.
                
Typically, a pint (1 unit) of blood is removed each week until your hematocrit level approaches normal. (Hematocrit is the measure of how much space red blood cells take up in your blood.)
                
You may need to have phlebotomy done every few months.
                
Medicines
                
Your doctor may prescribe medicines to keep your bone marrow from making too many red blood cells. Examples of these medicines include hydroxyurea and interferon-alpha.
                
Hydroxyurea is a medicine generally used to treat cancer. This medicine can reduce the number of red blood cells and platelets in your blood. As a result, this medicine helps improve your blood flow and bring the thickness of your blood closer to normal.
                
Interferon-alpha is a substance that your body normally makes. It also can be used to treat PV. Interferon-alpha can prompt your immune system to fight overactive bone marrow cells. This helps lower your red blood cell count and keep your blood flow and blood thickness closer to normal.
                
Radiation Treatment
                
Radiation treatment can help suppress overactive bone marrow cells. This helps lower your red blood cell count and keep your blood flow and blood thickness closer to normal.
                
However, radiation treatment can raise your risk of leukemia (blood cancer) and other blood diseases.
                
Treatments for Symptoms
                
Aspirin can relieve bone pain and burning feelings in your hands or feet that you may have as a result of PV. Aspirin also thins your blood, so it reduces the risk of blood clots.
                
Aspirin can have side effects, including bleeding in the stomach and intestines. For this reason, take aspirin only as your doctor recommends.
                
If your PV causes itching, your doctor may prescribe medicines to ease the discomfort. Your doctor also may prescribe ultraviolet light treatment to help relieve your itching.
                
Other ways to reduce itching include:
                
Avoiding hot baths. Cooler water can limit irritation to your skin.
                
Gently patting yourself dry after bathing. Vigorous rubbing with a towel can irritate your skin.
                
Taking starch baths. Add half a box of starch to a tub of lukewarm water. This can help soothe your skin.
                
Experimental Treatments
                
Researchers are studying other treatments for PV. An experimental treatment for itching involves taking low doses of selective serotonin reuptake inhibitors (SSRIs). This type of medicine is used to treat depression. In clinical trials, SSRIs reduced itching in people who had PV.
                
Imatinib mesylate is a medicine that's approved for treating leukemia. In clinical trials, this medicine helped reduce the need for phlebotomy in people who had PV. This medicine also helped reduce the size of enlarged spleens.
                
Researchers also are trying to find a treatment that can block or limit the effects of an abnormal JAK2 gene. (A mutation, or change, in the JAK2 gene is the major cause of PV.)"
Polycythemia vera,"What treatments are available for itching related to polycythemia vera? There are several treatments for the itching (pruritus) related to polycythemia vera (PV).  No single treatment has been found to be effective for all affected individuals.  For mild cases, treatment may include avoiding triggers of itching and dry skin, or controlling the temperature of the environment and bathing water.  Several other treatments are available for more severe itching or for itching the does not respond to initial treatments.  Interferon-alpha has been found to be effective for reducing itching in a majority of individual with PV who received this therapy; however, this medication can have significant side effects.  Selective serotonin reuptake inhibitors (SSRIs), typically used to treat depression, may reducing itching for some individuals with PV..  Phototherapy, antihistamines, and phlebotomy have also been attempted, with mixed results.  Additionally, if a genetic cause of polycythemia vera is know, medications targeted to the causative gene - such as JAK or mTor inhibitors - may be helpful in reducing itching."
Polyembryoma,"How might polyembryoma be treated? Because polyembryomas are quite rare, there are no established guidelines for treating this condition.  However, the first step for treating a polyembryoma is often surgery to remove as much of the tumor as possible.  Chemotherapy, and sometimes radiation therapy, have also been used after surgery to destroy any cancer cells that may remain."
Polymyositis,"How might polymyositis be treated? The treatment of polymyositis is based on the signs and symptoms present in each person. Although there is currently no cure, symptoms of the condition may be managed with the following: Medications such as corticosteroids, corticosteroid-sparing agents, immunosuppressive drugs Physical therapy to improve muscle strength and flexibility Speech therapy to address difficulties with swallowing and speech Intravenous immunoglobulin (healthy antibodies are given to block damaging autoantibodies that attack muscle) Medscape Reference's Web site offers more specific information regarding the treatment and management of polymyositis. Please click on the link to access the resource.There is no cure for polymyositis, but the symptoms can be treated. Options include medication, physical therapy, exercise, heat therapy (including microwave and ultrasound), orthotics and assistive devices, and rest. The standard treatment for polymyositis is a corticosteroid drug, given either in pill form or intravenously. Immunosuppressant drugs, such as azathioprine and methotrexate, may reduce inflammation in people who do not respond well to prednisone. Periodic treatment using intravenous immunoglobulin can also improve recovery. Other immunosuppressive agents used to treat the inflammation associated with polymyositis include cyclosporine A, cyclophosphamide, and tacrolimus. Physical therapy is usually recommended to prevent muscle atrophy and to regain muscle strength and range of motion."
Pompe Disease,"Individuals with Pompe disease are best treated by a team of specialists (such as cardiologist, neurologist, and respiratory therapist) knowledgeable about the disease, who can offer supportive and symptomatic care. The discovery of the GAA gene has led to rapid progress in understanding the biological mechanisms and properties of the GAA enzyme. As a result, an enzyme replacement therapy has been developed that has shown, in clinical trials with infantile-onset patients, to decrease heart size, maintain normal heart function, improve muscle function, tone, and strength, and reduce glycogen accumulation. A drug called alglucosidase alfa (Myozyme), has received FDA approval for the treatment of infants and children with Pompe disease. Another algluosidase alfa drug, Lumizyme, has been approved for late-onset (non-infantile) Pompe disease."
Pontocerebellar hypoplasia type 1,How might pontocerebellar hypoplasia type 1 be treated? There is no standard therapy for pontocerebellar hypoplasia type 1. Treatment is symptomatic and supportive.
Porencephaly,"Treatment may include physical therapy, medication for seizures, and the placement of a shunt in the brain to remove excess fluid in the brain."
Porokeratosis of Mibelli,"How might porokeratosis of Mibelli be treated? Treatment depends on the size, location, and aggressiveness of porokeratosis of Mibelli.  Affected individuals are recommended to visit their personal physician regularly to watch for signs of skin cancer, limit sun exposure to the affected area, and use moisturizers as needed.  Imiquimod cream has been found to be an effective treatment, as has 5-fluorouracil cream.  A group of medications called retinoids (including acitretin and isotretinoin), as a pill or cream, may be another treatment option.  If a skin cancer develops from porokeratosis of Mibelli, surgery is recommended."
Porphyria,"Treatment for porphyria depends on the type of porphyria the person has and the severity of the symptoms.
                
Acute Porphyrias
                
A health care provider treats acute porphyrias with heme or glucose loading to decrease the livers production of porphyrins and porphyrin precursors. A patient receives heme intravenously once a day for 4 days. Glucose loading involves giving a patient a glucose solution by mouth or intravenously. Heme is usually more effective and is the treatment of choice unless symptoms are mild. In rare instances, if symptoms are severe, a health care provider will recommend liver transplantation to treat acute porphyria. In liver transplantation, a surgeon removes a diseased or an injured liver and replaces it with a healthy, whole liver or a segment of a liver from another person, called a donor. A patient has liver transplantation surgery in a hospital under general anesthesia. Liver transplantation can cure liver failure. More information is provided in the NIDDK health topic, Liver Transplantation.
                
Cutaneous Porphyrias
                
The most important step a person can take to treat a cutaneous porphyria is to avoid sunlight as much as possible. Other cutaneous porphyrias are treated as follows:
                
- Porphyria cutanea tarda. A health care provider treats porphyria cutanea tarda by removing factors that tend to activate the disease and by performing repeated therapeutic phlebotomies to reduce iron in the liver. Therapeutic phlebotomy is the removal of about a pint of blood from a vein in the arm. A technician performs the procedure at a blood donation center, such as a hospital, clinic, or bloodmobile. A patient does not require anesthesia. Another treatment approach is low-dose hydroxychloroquine tablets to reduce porphyrins in the liver.  - Erythropoietic protoporphyria. People with erythropoietic protoporphyria may be given beta-carotene or cysteine to improve sunlight tolerance, though these medications do not lower porphyrin levels. Experts recommend hepatitis A and B vaccines and avoiding alcohol to prevent protoporphyric liver failure. A health care provider may use liver transplantation or a combination of medications to treat people who develop liver failure. Unfortunately, liver transplantation does not correct the primary defect, which is the continuous overproduction of protoporphyria by bone marrow. Successful bone marrow transplantations may successfully cure erythropoietic protoporphyria. A health care provider only considers bone marrow transplantation if the disease is severe and leading to secondary liver disease.  - Congenital erythropoietic porphyria and hepatoerythropoietic porphyria. People with congenital erythropoietic porphyria or hepatoerythropoietic porphyria may need surgery to remove the spleen or blood transfusions to treat anemia. A surgeon removes the spleen in a hospital, and a patient receives general anesthesia. With a blood transfusion, a patient receives blood through an intravenous (IV) line inserted into a vein. A technician performs the procedure at a blood donation center, and a patient does not need anesthesia.
                
Secondary Porphyrinurias
                
Conditions called secondary porphyrinurias, such as disorders of the liver and bone marrow, as well as a number of drugs, chemicals, and toxins are often mistaken for porphyria because they lead to mild or moderate increases in porphyrin levels in the urine. Only highnot mild or moderatelevels of porphyrin or porphyrin precursors lead to a diagnosis of porphyria."
Post-Polio Syndrome,"Presently, no prevention has been found that can stop deterioration or reverse the deficits caused by the syndrome A number of controlled studies have demonstrated that nonfatiguing exercises may improve muscle strength and reduce tiredness. Doctors recommend that polio survivors follow standard healthy lifestyle practices: consuming a well-balanced diet, exercising judiciously (preferably under the supervision of an experienced health professional), and visiting a doctor regularly. There has been much debate about whether to encourage or discourage exercise for polio survivors or individuals who already have PPS. A commonsense approach, in which people use individual tolerance as their limit, is currently recommended. Preliminary studies indicate that intravenous immunoglobulin therapy may reduce pain, increase quality of life, and improve strength modestly."
